Timestamp,How familiar are you with: [Docker],How familiar are you with: [continuous integration],How familiar are you with: [make-like pipeline system],How familiar are you with: [CERN Open stack],Do you have access to your colleagues' code?,Do you have a code repository for your analysis?,How often do you reproduce final datasets in your analysis (eg. add variables)?,What software do you use?,Student
20/03/2018 21:47,Never used,Never used,Never used,Used it once or twice,"Probably yes, if I asked","Yes, on gitlab",Every few weeks,ROOT;Official experiment software;C++;python;bash scripts;makefile,Yes
20/03/2018 21:49,Used it once or twice,Never used,Never used,Never used,Yes,"Yes, on github",Every few months,ROOT;C++;python;bash scripts,Yes
20/03/2018 21:52,Used it once or twice,Never used,Never used,Never used,"Probably yes, if I asked","Yes, on gitlab",Every few months,ROOT;Official experiment software;C++;python;bash scripts;makefile,Yes
20/03/2018 22:02,Never used,Used it once or twice,Never used,Used it once or twice,Yes,"Yes, on gitlab",Every few months,ROOT;Official experiment software;python;bash scripts,Yes
20/03/2018 22:02,Never used,Used it once or twice,Never used,Never used,Yes,"Yes, on gitlab",Other,ROOT;Official experiment software;C++;python;bash scripts,Yes
20/03/2018 22:14,Never used,Never used,Never used,Never used,Yes,"Yes, on gitlab",Every few weeks,ROOT;Official experiment software;C++;python;bash scripts;makefile,Yes
20/03/2018 22:29,Never used,Using it regularly,Used it once or twice,Never used,Yes,"Yes, on gitlab",Every few months,ROOT;Official experiment software;C++;python;bash scripts;makefile,Yes
20/03/2018 22:29,Never used,Never used,Never used,Never used,No,No,Every few weeks,ROOT;C++;python;bash scripts;makefile,Yes
20/03/2018 22:30,Never used,Using it regularly,Using it regularly,Never used,Yes,"Yes, on gitlab",Every few weeks,ROOT;Official experiment software;C++;python;bash scripts;makefile,Yes
20/03/2018 22:38,Using it regularly,Used it once or twice,Using it regularly,Used it once or twice,Yes,"Yes, on github",Every few months,ROOT;Official experiment software;C++;python;bash scripts;makefile;Htcondor and dagman ,Yes
20/03/2018 22:51,Never used,Customizing it for my purpose,Using it regularly,Never used,Yes,"Yes, on gitlab",Every few months,ROOT;Official experiment software;C++;python;bash scripts;makefile,Yes
20/03/2018 22:54,Never used,Used it once or twice,Never used,Never used,"Probably yes, if I asked","Yes, on gitlab",Every few months,ROOT;C++;python;bash scripts;makefile,Yes
20/03/2018 23:13,Never used,Never used,Never used,Never used,Yes,"Yes, on github",Every few months,ROOT;Official experiment software;C++;python,Yes
20/03/2018 23:54,Never used,Never used,Never used,Never used,Yes,"Yes, on SVN",Every few months,ROOT;Official experiment software;C++;python;bash scripts;makefile,Yes
21/03/2018 07:59,Never used,Never used,Never used,Never used,Yes,"Yes, on gitlab",Every few months,ROOT;python,Yes
21/03/2018 09:42,Used it once or twice,Used it once or twice,Used it once or twice,Used it once or twice,Yes,"Yes, on gitlab",Every few months,ROOT;Official experiment software;C++;python,Yes
21/03/2018 09:58,Never used,Never used,Never used,Never used,Yes,"Yes, on gitlab",Every few months,ROOT;Official experiment software;C++;python;bash scripts,Yes
21/03/2018 11:23,Never used,Never used,Never used,Never used,Yes,"Yes, on gitlab",Other,ROOT;C++;python;bash scripts;makefile,Yes
21/03/2018 12:18,Never used,Never used,Used it once or twice,Never used,Yes,"Yes, on gitlab",Every few months,ROOT;C++;python;bash scripts;makefile,Yes
